Test:,Population,,,,,,
Species,Daphnia magna,,,,,,
Water/Sediment (0/1),0,,,,,,
Volume of medium [ml]:,800,,,,,,
Simulation time [d]:,36,,,,,,
Feeding mass [mgC/x]:,0.5,,,,,,
unit x: density or total (0/1),1,,,,,,
once/daily/scenrio (0/1/3),1,,,,,,
Initial number of Size class 1 ,5,,,,,,
Mean length of size class 1 [mm],1,,,,,,
Standarddeviation of size class 1  [mm],0.2,,,,,,
Initial number of Size class 2 ,0,,,,,,
Mean length of size class 2 [mm],0,,,,,,
Standarddeviation of size class 2  [mm],0,,,,,,
Initial number of Size class 3,3,,,,,,
Mean length of size class 3 [mm],3,,,,,,
Standarddeviation of size class 3  [mm],0.2,,,,,,
Size class 1 < [mm],1.19,,,,,,
Size class 3 >= [mm],2.5,,,,,,
Literature,Gergs et al in prep,,,,,,
Test Item,Control,,,,,,
Concentration [µg/l],0,,,,,,
Day,Class 1,Day,Class 2,Day,Class 3,Day,total
0,5,0,0,0,3,0,8
3,7,3,18,3,3,3,28
7,18,7,82,7,11,7,111
10,17,10,135,10,12,10,164
14,6,14,164,14,18,14,188
17,8,17,168,17,12,17,188
21,14,21,155,21,16,21,185
23,3,23,130,23,15,23,148
28,2,28,105,28,21,28,128
31,7,31,100,31,22,31,129
35,0,35,102,35,21,35,123
3,14,3,26,3,3,3,43
7,0,7,55,7,13,7,68
10,7,10,114,10,19,10,140
14,5,14,112,14,28,14,145
17,4,17,129,17,19,17,152
21,7,21,127,21,19,21,153
23,2,23,121,23,19,23,142
28,2,28,109,28,22,28,133
31,5,31,113,31,26,31,144
35,2,35,110,35,24,35,136
3,6,3,22,3,3,3,31
7,20,7,65,7,14,7,99
10,13,10,111,10,14,10,138
14,5,14,141,14,16,14,162
17,8,17,151,17,18,17,177
21,5,21,140,21,17,21,162
23,1,23,121,23,15,23,137
28,0,28,83,28,27,28,110
31,9,31,113,31,23,31,145
35,0,35,115,35,25,35,140
3,4,3,23,3,3,3,30
7,8,7,74,7,12,7,94
10,15,10,86,10,13,10,114
14,5,14,122,14,18,14,145
17,8,17,102,17,19,17,129
21,2,21,120,21,15,21,137
23,1,23,113,23,17,23,131
28,1,28,91,28,28,28,120
31,12,31,117,31,25,31,154
35,2,35,121,35,25,35,148
